id,gare_id,gestionnaire_id,solde_especes_actuel,statut,fond_roulement,opened_at,closed_at
40df1708-c970-4f98-8c46-49a5af8cce07,d1d89c1a-123b-4fc5-8137-77033415112f,56ae5099-9903-415d-8a2f-c6c6380c8e9b,0,cloturee,0,2026-07-22 09:02:47.506846+00,2026-07-22 17:16:46.289413+00
aad485e1-eb49-4e6f-ba98-1305c9e541c4,519752d6-db70-4938-a329-f7502986de68,3435e834-1494-49c8-8613-6a6753415862,0,cloturee,0,2026-08-03 08:12:37.142226+00,2026-08-03 19:17:44.105661+00
55532e3e-37ca-47e5-b058-5cf587fa11c9,e4ff8251-3db1-4ae2-a65d-78fc70fac537,873bfd1f-4b35-4d72-b773-c6299c6d117c,0,cloturee,0,2026-08-03 07:23:48.276815+00,2026-08-03 17:38:50.809414+00
feb61826-1735-40ca-9256-af910db87df2,54ac35ca-0e59-4ebd-a6fb-b0b89b26ab97,60e62047-2b6d-4ce4-971a-2fc077d486b0,0,cloturee,0,2026-07-22 07:28:19.039866+00,2026-07-23 08:28:49.175076+00
ceb4422b-6a8b-4871-89c5-4a45292d6c41,8e994bb2-eb43-4ef8-aa9f-1f59bfff30d6,20ed1188-6e90-4c5e-ac62-5827c553f29f,0,cloturee,0,2026-08-01 16:45:54.858997+00,2026-08-03 18:00:12.494404+00
da7bff4d-7582-48fa-9145-7df027f8a333,54ac35ca-0e59-4ebd-a6fb-b0b89b26ab97,60e62047-2b6d-4ce4-971a-2fc077d486b0,0,cloturee,0,2026-08-02 07:37:44.700453+00,2026-08-03 09:43:56.767514+00
73fb8aa7-f4d4-494a-8ea5-45e4d67480fe,8e994bb2-eb43-4ef8-aa9f-1f59bfff30d6,20ed1188-6e90-4c5e-ac62-5827c553f29f,0,cloturee,0,2026-08-01 16:25:25.302011+00,2026-08-01 16:25:32.029894+00
c30c34a8-9453-4c12-abc2-035ed82fffdb,7fd16429-1daa-4dde-a995-c5851e984909,8c581a4b-61eb-4570-ad30-2e3885813057,0,cloturee,0,2026-08-01 14:29:24.796903+00,2026-08-01 14:32:38.571184+00
abef07de-ea95-44e3-b6a9-c1e2f5e573e8,54ac35ca-0e59-4ebd-a6fb-b0b89b26ab97,60e62047-2b6d-4ce4-971a-2fc077d486b0,0,cloturee,0,2026-08-01 07:08:22.305223+00,2026-08-01 17:33:46.202409+00
ed8ed5e7-77f2-4fde-8daf-ab13bd0e85e7,64fa1f5a-43fa-4c58-9233-229b379a3c4a,16c0108f-a557-46ff-81c6-df6dae4e7c8b,0,cloturee,0,2026-07-30 15:45:31.024198+00,2026-07-30 16:24:01.095847+00
8445c30b-3636-4993-9a92-ac03504a0a99,d1d89c1a-123b-4fc5-8137-77033415112f,56ae5099-9903-415d-8a2f-c6c6380c8e9b,0,cloturee,0,2026-07-20 19:18:57.108379+00,2026-07-20 19:23:46.318861+00
573b8489-714b-4fc6-9a49-20f0b4264b91,54ac35ca-0e59-4ebd-a6fb-b0b89b26ab97,60e62047-2b6d-4ce4-971a-2fc077d486b0,0,cloturee,0,2026-07-20 11:21:48.318115+00,2026-07-21 08:10:23.747529+00
