id,name,companyId,googleMapsLink,gestionnaireUserId,gestionnaireSharePct,gestionnaireSharePctReservation,latitude,longitude,cityId,phone
b426b3a8-23f0-4476-9ff1-69473a5af124,Korogho,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,df433775-0215-4ab9-a725-22d234a002df,0715463014
ab03bc4b-05dd-4cf3-b6f0-f28d227a10ab,Gare Bouake,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,e9f75ad6-3f57-4936-a4f8-b879a5a7f993,0,0,,,62833fa5-e9ba-43b2-b951-40730a3e1353,
5add5ae6-f450-404d-8523-4935dff50ceb,Aboisso,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,eb831f2e-2893-4406-92c6-7dd65016631b,0500651114
4114caee-f7bc-41db-af55-adb48a19cf78,Dabou,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,a22c1bbb-f99e-425f-800e-18653f0f5b5b,0171092657
0dd2ae5a-b59b-4e34-885d-2c897ba42e89,Agboville,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,bed43d97-1b05-41cf-b210-c85d48673dc2,0716893641
5747c69d-f2f0-4bbd-ac47-7b11e8ec3981,Bonoua,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,332519fe-637b-4cba-94e7-4f0759d39267,0171065396
6ce67f79-9844-4a0d-9f09-bb2b12a3a5ad,Issia,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,3dca99fc-0a8a-4e5c-8b00-e7af8c096038,0779719827
d1d89c1a-123b-4fc5-8137-77033415112f,Selmer,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,f3fc3ce4-b0fe-4cf9-868f-74beb0004bd6,+2250710821897
8e994bb2-eb43-4ef8-aa9f-1f59bfff30d6,Nouvelle Gare,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,f3fc3ce4-b0fe-4cf9-868f-74beb0004bd6,0556040134
7613f0ad-1f12-4779-9c31-b6b24d3145a6,Djegonofla,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,e1f46ca2-de76-4684-bf0d-530aa98aac7c,+2250757366066
3fa4bf94-e7b9-499e-99d3-160a83e94b97,San-Pedro,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,7fb442b9-1ecd-4f88-b8db-8fafdd35df48,0500460001
5c29b9d2-ea9b-420f-b7d4-85760b7231a7,Oume,1422ab71-4a45-45af-8e7c-4c72a2f9b296,,,0,0,,,125f2665-8c39-43a2-96a0-0974b8fc4a68,+2250704119891
