id,name,countryId
62833fa5-e9ba-43b2-b951-40730a3e1353,Bouaké,3df7050d-5285-40b5-b552-75bc84d4216b
f3fc3ce4-b0fe-4cf9-868f-74beb0004bd6,Abidjan,3df7050d-5285-40b5-b552-75bc84d4216b
077fe9b5-228e-42b2-957a-2de6f352b5c8,Yamoussoukro,3df7050d-5285-40b5-b552-75bc84d4216b
c4b0f03e-00c4-4b14-a7e2-8d99ab7e4579,Ville principale,62355d19-3677-4dde-bbb5-e6e6693951fa
b0945e3e-896b-4b00-8391-e6a6ebff3f6d,Bamenda,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
401e6c55-017f-4eec-ae00-e5806242f04d,Kousséri,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
b8fe15ba-f469-46a2-821d-b69edfc96bcd,Kombissiri,62355d19-3677-4dde-bbb5-e6e6693951fa
7a7455bc-9169-49ca-9726-d5dba2d54cfe,Province du Loroum,62355d19-3677-4dde-bbb5-e6e6693951fa
fc162cf8-b767-4485-b0a3-e9504bc4f34f,Sakété,49db3e4f-c9a8-4cbc-97c6-ff89a026a62e
a496ac1d-4398-48d5-81ef-0c8f0995652a,Mbandjok,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
9db4dba6-9168-4967-b9f3-85cf782356b5,Mefou-et-Akono,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
53563039-b0a2-4f4d-a451-c8ddd9f124ec,Province de la Komandjoari,62355d19-3677-4dde-bbb5-e6e6693951fa
cc3c23cb-0522-4fc3-b606-d7be3403b8f7,Garoua,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
ffd47020-fdb9-41d3-9f6d-7422e0c3139f,Mora,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
1a941a45-3832-4f9d-b655-4e0761698988,Pobé,49db3e4f-c9a8-4cbc-97c6-ff89a026a62e
f77b5578-480c-40cb-a0aa-adf169d3984a,Commune of Agbangnizoun,49db3e4f-c9a8-4cbc-97c6-ff89a026a62e
0eb58cba-717e-4d03-9cd9-e59398349d38,Kaya,62355d19-3677-4dde-bbb5-e6e6693951fa
42b5969c-06d2-4957-88bb-a88793d97a5c,Muyuka,08fcb8a2-c15b-454b-9aac-16c2cb468ab0
